超次元5ｃ-2187,2055,1576,3307,3307,3307,2306,1198,2772,176,3147,3232,481,481,3227,1093,2017,2017,2017,2017,3484,2914,2468,3096,4228,4228,4228,982,3268,3268,4036,4036,1947,1830,841,3651,3930,3762,4223,4223-100/dm136.html
カツキングと伝説の秘宝（構築）-2740,2740,2740,3307,2895,2895,2045,2045,2306,3236,3361,3232,2855,3913,4225,481,481,481,481,3227,3227,3227,3227,1093,3444,114,114,4226,4227,4228,4228,4228,4228,4224,4224,4224,3930,4223,4223,4223-100/dm137.html
人参ハンデス（第8回公式優勝デッキ）-3452,3452,3452,3517,247,3166,3166,3166,3166,3945,3945,1126,1126,3920,3920,102,102,102,3170,3170,3170,3170,1198,3794,3794,3794,3468,3468,3468,104,104,3245,3245,3895,3895,838,840,840,840,3092-100/dm138.html-4241,3356,3235,3235,3235,3640,3489,4234
逆襲のイズモ（構築）-4340,4340,4340,4341,4341,4341,4339,4339,4339,4339,468,468,468,468,320,320,320,320,3107,4343,4343,4343,4343,4342,4342,4342,104,104,104,104,4347,4347,4347,4347,4346,4346,4345,4345,4344,4344-100/dm139.html-
熱血の戦闘龍-721,721,2134,2134,2134,2134,3311,3311,3311,3311,2422,2422,2633,2633,2495,2495,2495,2495,4446,4446,4446,4445,4445,4445,4444,4444,4444,3147,4442,4442,4442,3563,3438,3438,3508,3508,3508,4443,4443,3760-100/dm140.html-
正義の天聖龍-4447,4447,4447,4447,1176,1176,1176,1176,2490,2490,2490,2490,3089,3089,3089,3089,3919,3919,3919,3919,994,994,994,994,4451,4451,4451,4451,2609,2609,2609,247,4448,4448,4448,2593,2593,4450,4450,4449-100/dm141.html-
神秘の結晶龍-3023,3023,3023,3023,115,2412,2412,20,20,20,20,4456,4456,4456,4456,690,690,690,3865,3865,3865,3865,25,2336,2336,2336,2336,4455,4455,4455,4454,4454,4454,4453,320,320,320,320,4452,4452-100/dm142.html-
ろろじヘルムコン-1222,1222,3307,3307,3307,3307,4504,4504,4504,4504,3794,3794,3660,3660,2153,2180,1212,1212,481,481,481,481,3227,3227,3227,3227,3484,3484,3484,3484,4036,4036,841,3930,3762,3762,2982,2982,2982,2982-100/dm143.html-3259,3640,3525,3525,3182,4263,4233,4234
